a52dec 0.7.4-10
aalib 1.4rc5-13
accountsservice 0.6.55-1
acestream-engine-stable 3.1.16-7
acestream-launcher 2.0.1-1
acl 2.2.53-1
acpi 1.7-2
acpid 2.0.31-1
adapta-maia-theme 3.94.0.149-1
adobe-source-code-pro-fonts 2.030ro+1.050it-5
adwaita-icon-theme 3.32.0-1
adwaita-maia-gtk3 20161221-1
adwaita-manjaro-themes 20161221-1
alacritty 0.3.2-2
alacritty-terminfo 0.3.2-2
alsa-firmware 1.0.29-2
alsa-lib 1.1.9-1
alsa-plugins 1.1.9-2
alsa-utils 1.1.9-1
alure 1.2-6
anbox-image 1:2018.07.19-1
antigen-git v2.2.3.r6.gc91f77c-1
aom 1.0.0-1
apg 2.2.3-4
apparmor 2.13.2-2
appmenu-gtk-module-git 0.7.1.r36.g8f4818b-1
appmenu-qt4 0.2.6-2
appstream-glib 0.7.15-1
apr 1.7.0-1
apr-util 1.6.1-5
arandr 0.1.10-3
archlinux-appstream-data 20190424-1
archlinux-keyring 20190123-2
argon2 20171227-3
aribb24 1.0.3-2
ark 19.04.1-1
artwork-i3 20180516-1
asciidoc 8.6.10-1
aspell 0.60.7rc1-1
at-spi2-atk 2.32.0-1
at-spi2-core 2.32.1-1
atk 2.32-1
atkmm 2.28.0-1
attica 5.58.0-1
attr 2.4.48-1
audacious-plugins 3.10.1-3
audiofile 0.3.6-4
audit 2.8.4-3
autoconf 2.69-5
automake 1.16.1-1
avahi 0.7+18+g1b5f401-2
awesome-terminal-fonts 1.1.0-2
b43-fwcutter 019-2
babl 0.1.62-1
bash 5.0.007-1
bash-completion 2.9-1
bashrc-manjaro 5.0.007-1
bc 1.07.1-3
bdf-unifont 12.1.01-1
betterlockscreen 3.0.1-4
binutils 2.32-1
bison 3.3.2-1
blas 3.8.0-2
bleachbit 2.2-1
blueman 2.0.8-2
bluez 5.50-6
bluez-libs 5.50-6
bmenu 0.5-3
bmon 4.0-3
boost 1.69.0-2
boost-libs 1.69.0-2
brandr 0.2-3
brotli 1.0.7-1
btrfs-progs 5.1-1
bubblewrap 0.3.3-1
bucklespring 1.4.0-1
butt 0.1.17-1
byobu 5.127-2
bzip2 1.0.6-8
bzr 2.7.0-3
c-ares 1.15.0-1
ca-certificates 20181109-1
ca-certificates-mozilla 3.44-1
ca-certificates-utils 20181109-1
cabextract 1.9.1-1
cairo 1.16.0-2
cairomm 1.12.2-3
calc 2.12.7.1-1
calf 0.90.2-1
calibre 3.42.0-1
cantarell-fonts 1:0.111-1
catimg 2.5.0-1
cava 0.6.1-1
cblas 3.8.0-2
ccze 0.2.1-10
cdparanoia 10.2-7
celt 0.11.3-3
chafa 1.0.1-1
cheat-git 2.5.1-1
check 0.12.0-1
chmlib 0.40-5
chromaprint 1.4.3-2
chrpath 0.16-2
cifs-utils 6.8-2
ckbcomp 1.175-1
clang 8.0.0-4
clipit 1:1.4.3-2
clipmenu 5.6.0-1
clipnotify 1.0.2-1
clonehero 0.21.7-2
clucene 2.3.3.4-10
clutter 1.26.2-2
clutter-gst 3.0.27-1
clutter-gtk 1.8.4-1
cmake 3.14.4-1
cmark-gfm 0.29.0.gfm.0-1
cmatrix 2.0-1
cmus 2.8.0-3
code 1.34.0-2
cogl 1.22.4-1
coin 4.0.0a+11927+me74da184f75b-1
colord 1.4.4-2
compiler-rt 8.0.0-1
confuse 3.2.2-1
conky 1.11.3-1
conky-i3 20180507-1
cool-retro-term 1.1.1-1
coreutils 8.31-1
cpupower 5.1-1
cracklib 2.9.7-1
crda 4.14-2
cronie 1.5.4-1
cryptsetup 2.1.0-1.1
cups 2.2.11-2
cups-filters 1.22.5-2
cups-pdf 3.0.1-4
cups-pk-helper 0.2.6-3
curl 7.64.1-2
daala 0.0.r1696.g7278368-1
db 5.3.28-4
dbus 1.12.14-1
dbus-glib 0.110-1
dcadec 0.2.0-1
dcfldd 1.3.4.1-5
dconf 0.32.0-3
desktop-file-utils 0.23+4+g92af410-1
device-mapper 2.02.184-4
dfc 3.1.1-1
dhclient 4.4.1-4
dhcpcd 7.2.1-1
diffutils 3.7-1
ding-libs 0.6.1-2
djvulibre 3.5.27-4
dkms 2.5-4
dmenu 4.9-1.1
dmidecode 3.2-1
dmraid 1.0.0.rc16.3-11
dnsmasq 2.80-3
dnssec-anchors 20181003-1
docbook-xml 4.5-8
docbook-xsl 1.79.2-5
dosfstools 4.1-2
double-conversion 3.1.4-1
downgrade 6.2.1-1
doxygen 1.8.15-1
dunst 1.4.0-1
e2fsprogs 1.45.1-1
easytag 2.4.3-2
ecryptfs-utils 111-3
efibootmgr 16-1
efivar 37-1
eigen 3.3.7-2
electron 4.1.4-1
enca 1.19-2
enchant 2.2.3-2
epdfview 0.1.8-10
exa 0.8.0-3
