top - 20:19:01 up 2 days, 57 min,  1 user,  load average: 1,90, 2,03, 1,77
Tasks: 161 total,   2 running, 159 sleeping,   0 stopped,   0 zombie
%Cpu(s): 11,1 us, 13,9 sy,  0,0 ni, 72,2 id,  0,0 wa,  2,8 hi,  0,0 si,  0,0 st
MiB Mem :   1873,8 total,    405,2 free,    946,2 used,    522,4 buff/cache
MiB Swap:   8192,0 total,   7885,0 free,    307,0 used.    614,6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
2342667 damez     20   0    9296   3604   3224 R  11,8   0,2   0:00.04 top
      1 root      20   0  174968   4296   2320 S   0,0   0,2   0:06.47 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.05 kthreadd
      3 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_par+
      6 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
      9 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 mm_perc+
     10 root      20   0       0      0      0 S   0,0   0,0   0:36.28 ksoftir+
     11 root      20   0       0      0      0 R   0,0   0,0   1:33.52 rcu_sch+
     12 root      rt   0       0      0      0 S   0,0   0,0   0:02.07 migrati+
     13 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/0
     14 root      20   0       0      0      0 S   0,0   0,0   0:00.02 cpuhp/1
     15 root      rt   0       0      0      0 S   0,0   0,0   0:01.89 migrati+
     16 root      20   0       0      0      0 S   0,0   0,0   0:28.63 ksoftir+
     18 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     19 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kdevtmp+
     20 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 netns
     21 root      20   0       0      0      0 S   0,0   0,0   0:00.00 rcu_tas+
     22 root      20   0       0      0      0 S   0,0   0,0   0:00.33 kauditd
     23 root      20   0       0      0      0 S   0,0   0,0   0:00.00 oom_rea+
     24 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 writeba+
     25 root      20   0       0      0      0 S   0,0   0,0   0:08.23 kcompac+
     26 root      25   5       0      0      0 S   0,0   0,0   0:00.00 ksmd
     27 root      39  19       0      0      0 S   0,0   0,0   0:07.25 khugepa+
     62 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 cryptd
    155 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kintegr+
    156 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kblockd
    157 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 blkcg_p+
    158 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 ata_sff
    159 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 md
    160 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 devfreq+
    181 root      20   0       0      0      0 S   0,0   0,0   3:46.13 kswapd0
    182 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 xfsalloc
    183 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 xfs_mru+
    188 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kthrotld
    190 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 fc_exch+
    191 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 fc_rpor+
    192 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 nvme-wq
    193 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 nvme-re+
    194 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 nvme-de+
    195 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    196 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 scsi_tm+
    197 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    198 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 scsi_tm+
    201 root       0 -20       0      0      0 I   0,0   0,0   0:05.35 kworker+
    205 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 qat_dev+
    206 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 qat_pf2+
    207 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 adf_vf_+
    214 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 ipv6_ad+
    215 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kstrp
    313 root      20   0       0      0      0 S   0,0   0,0   0:02.32 jbd2/sd+
    314 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 ext4-rs+
    320 root       0 -20       0      0      0 I   0,0   0,0   0:05.83 kworker+
    346 root      20   0   74832  11864  11120 S   0,0   0,6   0:17.56 systemd+
    357 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 iprt-VB+
    358 root      20   0       0      0      0 S   0,0   0,0   0:00.00 iprt-VB+
    375 root      20   0   29836   1728   1468 S   0,0   0,1   0:01.82 systemd+
    392 root      20   0    6580   1072    972 S   0,0   0,1   0:00.88 crond
    393 dbus      20   0    8028   3104   1496 S   0,0   0,2   0:34.30 dbus-da+
    395 root      20   0  543084   5668   3304 S   0,0   0,3   0:50.98 Network+
    399 root      20   0   14852    896    824 S   0,0   0,0   0:01.20 systemd+
    400 root      20   0   15320   1716   1392 S   0,0   0,1   0:02.33 systemd+
    419 root      20   0   26056     88     88 S   0,0   0,0   0:00.04 cupsd
    426 root      20   0  304704   2332   1956 S   0,0   0,1   0:00.15 lightdm
    463 root     -51   0       0      0      0 S   0,0   0,0   1:08.51 irq/119+
    466 root      20   0  234296   2184   1676 S   0,0   0,1   0:01.06 account+
    470 polkitd   20   0 1525508   6104   2032 S   0,0   0,3   0:09.33 polkitd
    478 root      20   0 1364024    332    116 S   0,0   0,0   0:01.76 libvirtd
    480 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/120+
    496 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 acpi_th+
    532 root      20   0    2304      0      0 S   0,0   0,0   0:00.00 none
    549 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 cfg80211
    609 root     -51   0       0      0      0 S   0,0   0,0   0:46.96 irq/123+
    628 root      20   0   13716   1696   1104 S   0,0   0,1   0:04.13 wpa_sup+
    922 damez     20   0   17100   2400   1740 S   0,0   0,1   0:00.52 systemd
    923 damez     20   0   21684      4      0 S   0,0   0,0   0:00.00 (sd-pam)
    928 damez     20   0    7400   1756   1464 S   0,0   0,1   0:01.46 bash
    950 damez     20   0    6972   1904   1196 S   0,0   0,1   0:05.77 dbus-da+
    966 damez     20   0   79152    928    904 S   0,0   0,0   0:00.56 gamemod+
    971 damez     20   0    7400   1768   1452 S   0,0   0,1   0:01.23 bash
    974 damez     20   0  304208   1600   1440 S   0,0   0,1   0:00.05 at-spi-+
    988 damez     20   0    6464   1432   1200 S   0,0   0,1   0:02.01 dbus-da+
    994 damez     20   0  235892   1992   1624 S   0,0   0,1   0:00.10 gvfsd
   1000 damez     20   0  378904     68     68 S   0,0   0,0   0:00.04 gvfsd-f+
   1034 damez     20   0  228868   1332   1112 S   0,0   0,1   0:00.05 xfconfd
   1073 root      20   0  248860   2936   1884 S   0,0   0,2   0:07.57 upowerd
   1079 root      20   0  393468   3852   2312 S   0,0   0,2   0:26.24 udisksd
   1097 damez      9 -11  696984   4996   2444 S   0,0   0,3  17:55.25 pulseau+
   1115 root      20   0   10296   1812   1424 S   0,0   0,1   0:00.52 bluetoo+
   1123 damez     20   0 1080776    380    380 S   0,0   0,0   3:14.97 mpd
   1157 rtkit     21   1  152676    808    804 S   0,0   0,0   0:00.65 rtkit-d+
   1164 damez     20   0  239360    348    348 S   0,0   0,0   0:00.02 gsettin+
   1912 damez     20   0   12320   3752   1832 S   0,0   0,2  14:56.32 tmux: s+
   2449 damez     20   0   12732   1428   1236 S   0,0   0,1   0:00.74 zsh
   2487 damez     20   0   12760    872    872 S   0,0   0,0   0:00.59 zsh
   2538 damez     20   0   12764    852    852 S   0,0   0,0   0:00.61 zsh
   2581 damez     20   0   12768    868    868 S   0,0   0,0   0:00.63 zsh
   4019 damez     20   0   56672  33816   3652 S   0,0   1,8   1:31.73 python
   4317 damez     20   0   49916   1424   1424 S   0,0   0,1   0:01.97 perl
   4430 damez     20   0   28268   1052   1052 S   0,0   0,1   0:05.23 w3m
 402121 damez     20   0   43688    944    944 S   0,0   0,0   0:00.04 obexd
 402140 root      10 -10       0      0      0 S   0,0   0,0   0:00.00 krfcommd
 407775 damez     20   0  155816    692    692 S   0,0   0,0   0:00.38 dconf-s+
 471514 damez     20   0  347212   2172   1428 S   0,0   0,1   0:01.06 gvfs-ud+
 471522 damez     20   0  313012    724    724 S   0,0   0,0   0:01.38 gvfs-af+
 471528 damez     20   0  236308   1300   1152 S   0,0   0,1   0:00.11 gvfs-gp+
